"Case Number","Status","Case Origin","Date/Time Opened","Completion Date","Model CodeName","Subject","Description","Resolution Reports"
"00287434","Closed","","19.02.2024, 14:54","21.02.2024, 19:00","LH13QBREBGCXEN","[MISv9] WebAuthor clock widget issue","Dear all,   please support the following case:   MISv9 : 21.1040.2   Description: - create a new LFD Content (tested with S6 and S9) in webauthor - add a clock widget. - set widget to also show weekday - Check wobauthor preview: the weekday is shown in full ""Monday"" or ""Montag"" - Save and publish content to a screen (tested wit S6 QB13R and S10 OH24B)   Expected behavior : - Screen shows the same information than in Webauthor Preview   Current behavior: - Screen shows the short version of the Weekday ""Mo"" or ""Mon"" (See attached screenshot)   Request: Please provide a fix or a guide: Screen should show the same as the preview.   Thank you","[RESOLUTION REPORT] 
 Type of Resolution : S/W Changed 
 this is unfortunately a bug in Web Author, and will be fixed in the next release of MagicINFO Server, which has now been pushed back to August of this year (tentative) 
 "
"00287249","Closed","Customer Email","15.02.2024, 12:51","19.02.2024, 11:05","LH75OHAEBGBXEN","[LH75OHAEBGBXEN]","Wir haben einen OH75A der die Screen Helligkeit nicht automatisch regelt, obwohl der ECO-Sensor eingeschaltet ist.
Die Helligkeit bleibt immer gleich, egal bei welcher Tageszeit und Sonneneinstrahlung.
Im Factory Menü wird beim Sensor Test ""OK"" angezeigt.
 
Die FW ist: T-MSMLWWC-1280.3
 
Das Ganze habe ich schon mit Samuel Gabriel Telefonisch angeschaut.","[RESOLUTION REPORT] 
 Type of Resolution : Not a Defect 
 The Brightness curve of OHA is too sensible, so even minimal lights (street, windows,...) cause the screen to run at high brightness. 
 As the behavior is by design, i'll close the ticket without having a solution.  (ideally a sensor-gain-adjusting feature should be added to Outdoor devices)   
 "
"00283391","Closed","","19.12.2023, 14:02","20.12.2023, 11:06","BW-LRNE01A","[LYNK REACH 4.0 License] not all licenses are shown","GENERAL/REQUEST INFORMATION:	 * Problem Description:	 ""We bought 187 licenses and the customer sees only 157. WHY? The TV model is irrelevant.""	 * Customer Request:	 -	 What did the Customer or Service Integrator already try:	 -	 * How to get error:	 -	 Expected behaviour:	 needs Support for licenses 	 Current behaviour:	 Not all licenses are visible 	 PRODUCT INFORMATION:	 * Modelcode:	BW-LRNE01A * Firmware Version:	- * Serial Number:	- FW, sub (1,2,3): 	- Server OS: 	- Database version: 	Samsung LYNK Reach 4.0 [LFD] MagicInfo Version:	 [LFD] Webauthor Version: 	- [HTV] Software Solution: 	- [HTV] Coax or IPTV connection: 	- [MONITOR] Signalübertragung (HDMI, DP?):	- CUSTOMER INFORMATION:	 * Ticket Entry (Sprinklr):	#141607620; 14.12.2023 * Preferred language:	German * Company Address: 	APTON SAGL, Viale Stazione 11, 6500 Bellinzona ATTACHEMENTS:	 Bild Lizenz 	 Customer Details	 * Firstname:	Steve * Lastname: 	Mazzola * E-Mail: 	steve.mazzola@apton.ch * Phone: 	0912221200 Mob:	 Address: 	Viale Stazione 11, 6500 Bellinzona Preferred Contact Method: 	 E-Mail:	steve.mazzola@apton.ch Phone: 	 Language: 	German","[RESOLUTION REPORT] 
 Type of Resolution : Technical Guide 
 Wrong process for Lynk Reach:  
 Correct: License extension isn't working. Need a new License key to be added in addiditon to the original one.  
 "
"00281208","Closed","","24.11.2023, 11:05","27.11.2023, 11:01","LH43QMBEBGCXEN","[DataLink] Error in numeric data from Excel","Dear team, Please check the following issue in DataLink, which we believe is a bug.   Issue: DataLink cannot handle numeric fields during ingest. DataLink imports them as VARCHAR, and removes the decimal parts.   Case description / Steps to reproduce: -	Customer has an ?excel? file that is added to the ?Excel connector? in DataLink -	In this Excel file, one of the fields contains the price of the product. Here in Switzerland, numbers with decimals are written as ?22.80? with a ?dot? as the linker. -	During the import, DataLink removes the decimal parts, and adds only the INT part, as VARCHAR to the service. In the eg. : ?22? What we tested already: -	Manually replaced the ?.? with a ?,? in the excel file -	Defined the field as a ?number? in Excel -	Tested various Excel data types Findings: -	Only replacing the ?.? with a ?,? in the Excel file, finally had the ?22,80? value displayed in DataLink. -	This value in DataLink is now a VARCHAR, and it is not possible to cast it to something else -	To have the data shown correctly on the screen we had to replace the ?,? back to ?.? again in an SQL view (Select REPLACE(DL_H, ?,?,?.?) then cast it to a decimal number ?   Request: please check if this can be considered as a bug. If not, then please provide a guide on how price value ?22.80? can be used in DataLink without having to change the source data and modify it again later in DataLink.   Thank you Thomas","[RESOLUTION REPORT] 
 Type of Resolution : Pending From Customer 
 Resolving as per our policy. As per comment from L4, there are two options to handle the issue: 
 1.Add Apostrophe (') to number so that it reads it as String. 
 2.Instead of above step you can just save file as .csv instead excel. As csv file supports every type. 
 "
"00281198","Closed","","24.11.2023, 10:11","27.11.2023, 15:39","LH24QBRTBGCXEN","[QB24R-T] Howto disable long-press menu","Dear team,   please provide a guide for the following case:   The customer is using QB24R-T to display a webpage (published by MagicINFO). This page has to be used by touching the screen. Problem: On our touch devices, a long-press on the screen recalls the OSD menu, where every user can change the source or even turn the device off.   what we tried : - security lock on (this asks for the pin on every interaction, so it's useless for our touch case) - different button lock settings (these have no impact on the OSD menu)   Request: please provide a guide on how to deactivate the long-press function on touch devices.   Thank you Warm regards,   Thomas","[RESOLUTION REPORT] 
 Type of Resolution : Technical Guide 
  Menu -> General -> Touch Control -> Admin Menu Lock and set it to On 
 "
"00277255","Closed","","04.10.2023, 10:55","05.10.2023, 09:09","LH43QMNEBGC/EN","[MISv8] ""SQL Error was encountered"" by creating custom Frames in MagicINFO schedule","Dear team,   please support the following case:   We have an Org Admin which is not allowed to create custom Frames in MI Schedules. just after pressing the ""Save"" button, he sees an ""SQL Error was encounterd"" Error. (See attached screenshot)   Other Org Admins or Server Admins are not experiencing the issues.   Server Version: MagicINFO V8 build NA-MICS-20.1010.10 DB: PostgreSQL 9.6   Thank you in advance for your support! Warm regards, Thomas","[RESOLUTION REPORT] 
 Type of Resolution : Technical Guide 
 1) Create backup of the database 
 2) Stop the MagicInfo Premium service 
 3) Open PG Admin 
 4) Run the given query  ""ALTER TABLE MI_CDS_INFO_FRAME_TEMPLATE ALTER COLUMN ORGANIZATION TYPE VARCHAR(60);""  in the database. 
 5) Start the service again 
 6) Login with the user  
 7) Create custom frame in schedule and save 
 "
"00274534","Closed","","31.08.2023, 11:07","31.08.2023, 16:02","CY-MIASSTS","[MagicInfo Webauthor] Webauthor startet nicht, zeigt Fehlermeldung","GENERAL/REQUEST INFORMATION:	 * Problem Description:	 Magic Info Webauthor startet nicht, Fehlermeldung: ""Magic Info Server Version ist niedriger als Webauthor-version""	 * Customer Request:	 	 What did the Customer or Service Integrator already try:	 	 * How to get error:	 	 Expected behaviour:	 	 Current behaviour:	 	 PRODUCT INFORMATION:	 * Modelcode:	 * Firmware Version:	 * Serial Number:	 FW, sub (1,2,3): 	 Server OS: 	 Database version: 	 [LFD] MagicInfo Version:	21.1040.2 [LFD] Webauthor Version: 	N/A [HTV] Software Solution: 	 [HTV] Coax or IPTV connection: 	 [MONITOR] Signalübertragung (HDMI, DP?):	 CUSTOMER INFORMATION:	 * Ticket Entry (Sprinklr):	31.08.2023 / #122271697 * Preferred language:	English * Company Address: 	Apton Sagal, Viale Stazione 11, 6500 Bellinzona ATTACHEMENTS:	 	 Customer Details	 * Firstname:	Dario * Lastname: 	Covino * E-Mail: 	dario.covino@apton.ch * Phone: 	0762450387 Mob:	 Address: 	 Preferred Contact Method: 	 E-Mail:	dario.covino@apton.ch Phone: 	0762450387 Language: 	German","[RESOLUTION REPORT] 
 Type of Resolution : Technical Guide 
 Certificate details have to be changed in server.xml, but also config.properties: 
 # Keystore for security connection 
 ############################################################################### 
 keystore.path = C:/MagicInfo Premium/runtime/keystore 
 keystore.identity.path = C:/MagicInfo Premium/runtime/keystore/swisssign.jks 
 keystore.identity.password = <YOURPASSWORD> 
   
 In this case, there was a typo in the password. Correcting it solved the issue.  
 "
"00269932","Closed","","29.06.2023, 10:18","29.06.2023, 17:03","CY-MIESDLS","[MagicInfo] Datenquellen für DataLink","GENERAL/REQUEST INFORMATION:	 * Problem Description:	 ""Wir haben einen Kunden, der ein Web-Tool verwendet, um seine Raumbelegungen zu verwalten. Diese würde er gerne in MagicInfo abbilden, und wir haben ihm dafür DataLink empfohlen.   In dem Tool habe ich die Möglichkeit, via REST-Abfrage JSONs oder XMLs zu erhalten, muss mich dafür aber einloggen. ""	 * Customer Request:	 Was ist die beste Möglichkeit, dem DataLink-Server diese Daten zur Verfügung zu stellen? Denkbar wäre auch, das mit einem Downloader zu erledigen, der die Inhalte dann in einen Ordner auf dem DataLink-Server legt. 	 What did the Customer or Service Integrator already try:	 	 * How to get error:	 	 Expected behaviour:	 	 Current behaviour:	 	 PRODUCT INFORMATION:	 * Modelcode:	MagicInfo * Firmware Version:	N/A * Serial Number:	N/A FW, sub (1,2,3): 	 Server OS: 	 Database version: 	 [LFD] MagicInfo Version:	N/A [LFD] Webauthor Version: 	 [HTV] Software Solution: 	 [HTV] Coax or IPTV connection: 	 [MONITOR] Signalübertragung (HDMI, DP?):	 CUSTOMER INFORMATION:	 * Ticket Entry (Sprinklr):	#112146599, 29.06.23 * Preferred language:	German * Company Address: 	ScreenPro, Chriesbaumstrasse 6 | 8604 Volketswil ATTACHEMENTS:	 	 Customer Details	 * Firstname:	Dennis * Lastname: 	Walter * E-Mail: 	walter@screenpro.ch * Phone: 	044 534 65 70 Mob:	 Address: 	Chriesbaumstrasse 6 | 8604 Volketswil Preferred Contact Method: 	 E-Mail:	walter@screenpro.ch Phone: 	044 534 65 70 Language: 	German","[RESOLUTION REPORT] 
 Type of Resolution : Pending From Customer 
 no feedback received. Closing the ticket. 
 "
"00269454","Closed","","23.06.2023, 12:06","23.06.2023, 16:42","CY-MIASSTS","[MagicInfo] Lizenzschlüssel umschreiben","GENERAL/REQUEST INFORMATION:	 * Problem Description:	 "" Anlässlich der MagicInfo Zertifizierung im November haben wir 2 Lizenzen erhalten. Wir haben nun gesehen, dass diese 2 Lizenzen auf einem neuen Schlüssel aktiviert worden sind.     ""	 * Customer Request:	 Dürfte ich bitten diese 2 Lizenzen auf den Firmenschlüssel umzuschreiben 01015A- 3YHWAB- OO3XFB- CXBC	 What did the Customer or Service Integrator already try:	 	 * How to get error:	 	 Expected behaviour:	 	 Current behaviour:	 	 PRODUCT INFORMATION:	 * Modelcode:	MagicInfo * Firmware Version:	 * Serial Number:	 FW, sub (1,2,3): 	 Server OS: 	 Database version: 	 [LFD] MagicInfo Version:	 [LFD] Webauthor Version: 	 [HTV] Software Solution: 	 [HTV] Coax or IPTV connection: 	 [MONITOR] Signalübertragung (HDMI, DP?):	 CUSTOMER INFORMATION:	 * Ticket Entry (Sprinklr):	#111442799, 23.06.23 * Preferred language:	German * Company Address: 	Westinform, 3172 Niederwangen, Freiburgstrasse 596 ATTACHEMENTS:	 	 Customer Details	 * Firstname:	Francesco * Lastname: 	Suppa * E-Mail: 	francesco.suppa@westiform.ch * Phone: 	031 980 22 22 Mob:	 Address: 	3172 Niederwangen, Freiburgstrasse 596 Preferred Contact Method: 	 E-Mail:	francesco.suppa@westiform.ch Phone: 	031 980 22 22 Language: 	German","[RESOLUTION REPORT] 
 Type of Resolution : Not a Defect 
 already merged 09.01.2023 
 "
"00267997","Closed","","06.06.2023, 12:09","06.06.2023, 12:54","LH65QMREBGCXEN","[W-Player] Issue in Variable Tags values","Dear team, please support the following case:   We noticed that passing Variable Tag values to W-player fails if there is a colon (:) in the Value of the Variable Tag.   how to reproduce: - Assign the following Variable Tag to a W-player device: {""name"":""station_middleware"", ""value"":""HTTP://something.com""}   then get the Value of the Variable Tag from the device in W-Player:   const tagtemp = $wp.device.getProperty('variable_tag'); let url1 = tagtemp.find(element => element.name === 'station_middleware').value;   url1 will only have HTTP. The rest is missing by using $wp.device.getProperty()   Already tested: - adding the URL in quote ""HTTP://something.com"" behaves the same.   please provide a fix or a way to escape colon (and any other problematic character)   Thank you Thomas   MagicINFO V9 21.1030.0 Wplayer API: 1.0.0 WPlayer Version: NA-MIWP-21.1030.3 Firmware: T-KTM2ELAKUC-2390.0","[RESOLUTION REPORT] 
 Type of Resolution : S/W Changed 
 HQ fixed the issue. Official release is planned for November this year. 
 "
"00267429","Closed","","30.05.2023, 13:37","31.05.2023, 09:19","LH43QMREBGCXEN","[Cloned] [MISv9] Panel Off disappeared in Schedule","Dear all, I reopen this Ticket (old 00262264). The ticket shouldn't have been closed, as still not solved. 
 As Saumya wrote, they were still investigating the root cause. 
 thank you for keeping us updated. 
 warm regards, Thomas 
 **** 
 
 Dear all, Please let me recreate this case. 
 The case is not solved. this special behavior is still happening on the server. Copying schedules with Panel Off in, lead to corrupted schedules. 
 We could organize a Teamviewer session to show the issue directly on the server. Thank you for your support. 
 Thomas ***** 
 
 Dear all   Please support the following case_   SI had a running MagicINFO server with regular Content Schedules. Some of the schedules have ?Panel Off? HW Source in. Somehow, the Schedule got corrupted, the Panel Off time block is still in the schedule, but without the ?Panel Off? title. Even in the Schedule content preview, the Panel Off content is empty.   I found a few of these Schedules also on our PreSales Lab Server. (v9 21.1020.0)Please see the attached movie for a better understanding.   Request: What is causing the issue and how can we fix it (without having to redo all the affected schedules)   Thank you Thomas","[RESOLUTION REPORT] 
 Type of Resolution : Technical Guide 
   
 update mi_cds_info_schedule 
 set content_type = 'HW_IS', 
 schedule_type = 01, 
 hw_input_source = 1000, 
 hw_atvdtv = -1, 
 hw_aircable = -1, 
 hw_majorch = 0, 
 hw_minorch = 0, 
 hw_volume = -1, 
 hw_sch_ch = 01, 
 content_id = '' 
 where content_id = 'PANEL_OFF'; 
 "
"00263198","Closed","","05.04.2023, 13:59","06.04.2023, 09:24","LH50QHBEBGCXEN","[MIS v9] S10 Devices not recognized as S10","Dear all, please support this case:   - We are running MIS v9 21.1030.0 with some S10 devices. We expected to have S10 devices recognized correctly with the newest version of MIS.   Even though the devices are recognized as S9, Webauthor offers the option to select S10 as the player type. (see attached pictures)   Please provide a fix.   Thank you and best regards, Thomas","[RESOLUTION REPORT] 
 Type of Resolution : Not a Defect 
[KONA ID : ]
? Resolution Details :
? Follow-up actions : "
"00261723","Closed","","21.03.2023, 15:57","22.03.2023, 09:23","LH43QMREBGCXEN","[MISv9] Panel Off duration is modified if only one weekday is selected.","Dear Team,   please support the following case:   MIS V9 21.1020.0 PG 12   Description: Panel Off duration is modified if only one weekday is selected.   To reproduce: - Create a new Schedule - Add Panel Off, from 00:00 - 05:59 - Select only Weekly - Sunday - Save - Save Schedule   - Select the newly created Schedule and Edit   Behavior: The time of the Panel Off has been modified (+1h) from 00:00 - 06:59 See the attached Movie.   Please provide a Fix.   Thank you Thomas","[RESOLUTION REPORT] 
 Type of Resolution : S/W Changed 
[KONA ID : ]
? Resolution Details :
Update to 21.1030.0 solved the issue
? Follow-up actions : "
"00259185","Closed","","20.02.2023, 10:39","20.02.2023, 12:14","BW-MIP70PA","[MagicInfo] Migration der Lizenzen","GENERAL/REQUEST INFORMATION:	 * Problem Description:	 ""Wir haben eine bestehende MagicInfo-Instanz mit aktuell 62 Displays.   Wir würden gerne 4 weiter Displays hinzufügen, damit wir dann 66 Displays betreiben können.   Dafür haben wir zwei neue MagicINFO Unified License bestellt:   01015A-L2QW4F-NOQKQ3-JPW7   01015A-7D64RN-SB65PI-I7FT / Diese müssten auf die bestehende Lizenz migriert werden:   01015A-DHD4NH-IXBIOK-IHUX""	 * Customer Request:	 Migration der Lizenzen	 What did the Customer or Service Integrator already try:	 n/a	 * How to get error:	 n/a	 Expected behaviour:	 n/a	 Current behaviour:	 n/a	 PRODUCT INFORMATION:	 * Modelcode:	n/a * Firmware Version:	n/a * Serial Number:	01015A-L2QW4F-NOQKQ3-JPW7, 01015A-7D64RN-SB65PI-I7FT, Migration auf: 01015A-DHD4NH-IXBIOK-IHUX FW, sub (1,2,3): 	 Server OS: 	 Database version: 	 [LFD] MagicInfo Version:	Unified 2 [LFD] Webauthor Version: 	 [HTV] Software Solution: 	 [HTV] Coax or IPTV connection: 	 [MONITOR] Signalübertragung (HDMI, DP?):	 CUSTOMER INFORMATION:	 * Ticket Entry (Sprinklr):	#93647783 * Preferred language:	German * Company Address: 	AVS Systeme AG ATTACHEMENTS:	 	 Customer Details	 * Firstname:	Andreas * Lastname: 	Aregger * E-Mail: 	andreas.aregger@avs.ch * Phone: 	0417844545 Mob:	 Address: 	Bösch 45, 6331 Hünenberg Preferred Contact Method: 	 E-Mail:	andreas.aregger@avs.ch Phone: 	0417844545 Language: 	German","[RESOLUTION REPORT] 
 Type of Resolution : Not a Defect 
[KONA ID : ]
? Resolution Details :
migrated
? Follow-up actions : "
"00258447","Closed","","09.02.2023, 10:45","09.02.2023, 13:57","CY-MIASSTS","[MagicInfo Server V9] Database problem after MagicInfo update","GENERAL/REQUEST INFORMATION:	 * Problem Description:	 Yesterday, I updated a customer?s MagicInfo server from v7 to v9. After the update, we now have the problem that the server only works for a short while before becoming slower and slower until it does not load at all anymore, throwing ?Internal server error? messages.   At first, the update (to 21.1020.0) went through fine, but it did not install the MagicInfo service after completion. Consulting the logs showed that there seemed to have been a handle on the tomcat directory that blocked the rename attempt when using the installer?s check. The installer noted ?FAIL? for accessibility of the tomcat directory, but still gave an end result of ?PASS?. Accessing the contents of the tomcat folder seemed to cause no problems (?PASS? on service.bat). So, contents were updated during the update, but after looking at the service.bat I noticed that tomcat 9 was missing, only tomcat 8 was present. I proceeded to copy the tomcat9 executable from the newly created tomcat9x64 folder (iirc) to the tomcat folder and reinstalled the service myself.   After that, the server was up, but I decided to be safe and double check that no handles are open on the tomcat folder before doing another upgrade (to 21.1030.0). This went through fine, but now I have the problem that database connections do not seem to be closed anymore. When the server is newly started, it behaves normally, but after a few actions it starts to become very slow before becoming nonfunctional. Looking through the logs, I notice the following:   [2023-02-07 17:28:04] ERROR [com.samsung.magicinfo.protocol.http.client.WSReverseClientServlet.doGet(WSReverseClientServlet.java:424)] -   java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available, request timed out after 5000ms.   When checking the server once this state is reached, I see that there are many Postgres processes running that do not reduce in number over time. Therefore, I assume that the database does not correctly close connections after a query has finished, thus running into the connection limit and refusing any further connections. The database in question is a Postgres 9.3 instance, administrated through PGAdmin III. Additionally, I see a lot of CIFS-related errors that might be due the customer using a LOT of CIFS folders ? of which not all might be available still. The server in question is nearly 11 years old, it is therefore possible that there are quite a few leftovers that have never been checked.   The logs as well as the tail end of the wsrm.log pertaining to this issue are attached. In case your system blocks zip attachments you can also download these at https://we.tl/t-d3w7b3zImY.   I?ve taken the liberty to write in English in order to facilitate possible further communication on this issue. The customer needs the system back up tomorrow evening at the latest, so please do get back to me as quickly as possible.   I will be on location at the customer?s place in about 30 minutes to see if I can do anything about it, but it would be great if you could get back to me in the next 3 hours.   Here's the result of executing the query ""SELECT * FROM pg_stat_activity;"" on the customer's database (I am onsite now):   Furthermore, the config.properties shows a starting connection pool of 10, with a maximum of 70. Username and password are hashed, and there are 24 PostgreSQL processes currently running on the server. * How to get error:	 n/a	 Expected behaviour:	 n/a	 Current behaviour:	 n/a	 PRODUCT INFORMATION:	 * Modelcode:	n/a * Firmware Version:	n/a * Serial Number:	n/a FW, sub (1,2,3): 	 Server OS: 	 Database version: 	 [LFD] MagicInfo Version:	21.1020.0 [LFD] Webauthor Version: 	 [HTV] Software Solution: 	 [HTV] Coax or IPTV connection: 	 [MONITOR] Signalübertragung (HDMI, DP?):	 CUSTOMER INFORMATION:	 * Ticket Entry (Sprinklr):	#92269361 * Preferred language:	German * Company Address: 	Screenpro ATTACHEMENTS:	 - Datenbank.png - Logs.zip Customer Details	 * Firstname:	Dennis * Lastname: 	Walter * E-Mail: 	walter@screenpro.ch * Phone: 	0445346577 Mob:	 Address: 	Chriesbaumstrasse 6, 8604 Volketswil Preferred Contact Method: 	 E-Mail:	walter@screenpro.ch Phone: 	0445346577 Language: 	German","[RESOLUTION REPORT] 
 Type of Resolution : Technical Guide 
[KONA ID : ]
? Resolution Details :
reinstalled
? Follow-up actions : "
"00258337","Closed","","08.02.2023, 13:35","08.02.2023, 13:56","LH43QMBEBGCXEN","MCD Downgrade Firmware Request","Dear All can I please request a downgrade firmware for the QxB Series for McDonalds? 
 can you please check the request attached? 
 Many Thanks","[RESOLUTION REPORT] 
 Type of Resolution : Technical Guide 
[KONA ID : ]
? Resolution Details :
Thank you for the Firmware. SI confirmed it is working as expected.
? Follow-up actions : "
"00256539","Closed","","13.01.2023, 09:02","16.01.2023, 11:48","LH43QMREBGCXEN","[MagicINFO] Webauthor display issue","Dear All   MagicINFO Server: 21.2010.0 Webauthor: 21.2010.0 Display: QM43R Firmware: T-KTM2ELAKUC-2370.2   Issue: When using the webauthor and create a content, then the webauthor is showing the content right, while the screen is not showing it the same way:   Webauthor: webauthor.jpg   Screen: screenorg.jpg     I have attached a sample content which shows the same issue.   Many Thanks Best Regards sam","[RESOLUTION REPORT] 
 Type of Resolution : Technical Guide 
[KONA ID : DF230202-00681]
? Resolution Details :
Technical Guide was provided  "
